"rank","provider","product","category","markets","headline_metric","amount_limit","term","fx_fee","atm_fee","cashback_reward","best_for","pros","watch_out","provider_url","url_type","url_verified_at"
"DE-1","ING","Girokonto","banking","DE","€0/mo","-","-","1.75%","Free DE ATMs","-","Free German IBAN","No fees with any salary credit; top-rated German app.","FX fee applies on non-EUR transactions.","https://www.ing.de/girokonto/","PRODUCT",""
"DE-2","DKB","Aktivkunde Girokonto","banking","DE","€0/mo","-","-","0%","Free worldwide","-","Free worldwide ATMs","Visa debit with 0% FX and free global ATMs for Aktivkunde.","Aktivkunde status requires €700/mo inflow or active use.","https://www.dkb.de/privatkunden/dkb-girokonto/","PRODUCT",""
"DE-3","Deutsche Bank","BestKonto","banking","DE","€0/mo (salary)","-","-","1.50%","Free DE network","-","Incumbent with branches","Extensive branch network; waived fee with salary deposit.","€9.90/mo without qualifying salary.","https://www.deutsche-bank.de/pk/konto-und-karte/konten-im-ueberblick/konten-im-vergleich.html","CATEGORY_LANDING",""
"DE-4","comdirect","Girokonto Aktiv","banking","DE","€0/mo","-","-","1.90%","Free DE Visa ATMs","-","Bank + broker combo","Integrated brokerage; free with any activity.","Commerzbank-owned; app less polished than N26.","https://www.comdirect.de/girokonto/","PRODUCT",""
"ES-1","BBVA","Cuenta Online Sin Comisiones","banking","ES","€0/mo","-","-","1.50%","Free BBVA ATMs","-","Top Spanish incumbent","No fees, no minimum balance; excellent mobile app.","Limited English support; EU-only ATM free tier.","PENDING_DEEP_LINK","PRODUCT",""
"ES-2","CaixaBank","Cuenta DayOne","banking","ES","€0/mo","-","-","1.50%","Free CaixaBank ATMs","-","Youth & new residents","Zero-fee account with CaixaBank's dense ATM network.","DayOne targets 18-35 age group; adults may get upsold.","https://www.dayonecaixabank.es/","PRODUCT",""
"ES-3","Banco Sabadell","Cuenta Online Sabadell","banking","ES","€0/mo","-","-","1.50%","Free Sabadell ATMs","-","Free with direct deposit","No fees with domiciled payroll or bills.","Fee applies without qualifying activity.","https://www.bancsabadell.com/cs/Satellite/SabAtl/Cuenta-online-Sabadell/6000007855815/es/","PRODUCT",""
"IT-1","Fineco","Conto Fineco","banking","IT","€0 yr1 / €3.95/mo","-","-","1.50%","Free EU ATMs","-","Bank + broker in one","Best-in-class Italian bank-broker; free first year.","Monthly fee applies from year two unless actively trading.","https://finecobank.com/it/public/conto-corrente/","PRODUCT",""
"IT-2","Intesa Sanpaolo","XME Conto","banking","IT","€0–5/mo","-","-","1.75%","Free IT network","-","Italy's largest bank","Widest branch/ATM coverage in Italy; solid mobile app.","Fees depend on tier; can be complex to navigate.","https://www.intesasanpaolo.com/it/persone/conti-correnti/xme-conto.html","PRODUCT",""
"IT-3","UniCredit","My Genius","banking","IT","€0–8/mo","-","-","1.50%","Free EU network","-","Modular account","Customise services; pan-European ATM coverage.","Price adds up quickly with optional modules.","https://www.unicredit.it/it/privati/conti-correnti/my-genius.html","PRODUCT",""
"FR-1","Boursorama Banque","Welcome Account","banking","FR","€0/mo","-","-","1.50%","Free EU ATMs","-","France's cheapest bank","Largest online bank in France; zero fees, no conditions.","Phone support limited; no physical branches.","https://www.boursobank.com/banque/carte-bancaire-gratuite-welcome","PRODUCT",""
"FR-2","BNP Paribas","Esprit Libre","banking","FR","€0–9/mo","-","-","1.75%","Free BNP ATMs","-","Big-bank safety net","Nationwide branch network; premium tier with Visa Infinite.","Fees required unless salary or savings threshold met.","https://mabanque.bnpparibas/fr/compte-bancaire/offre-esprit-libre","PRODUCT",""
"FR-3","Crédit Agricole","Compte EKO","banking","FR","€2/mo","-","-","1.50%","Free CA ATMs","-","Low-cost bundled account","Flat €2/mo with card; no income conditions.","No overdraft facility on EKO tier.","https://www.credit-agricole.fr/particulier/compte/comptes-pour-tous/eko.html","PRODUCT",""
"UK-1","Chase UK","Chase Account","banking","UK","£0/mo + 1% cashback","-","-","0%","Free worldwide","1% on everyday spend","Best free UK account","1% cashback yr1, 0% FX, free global ATMs — all on a free account.","Cashback capped at £15/mo; 1% drops to 0.5% after year one.","https://www.chase.co.uk/gb/en/product/chase-account/","PRODUCT",""
"UK-2","Starling Bank","Personal Account","banking","UK","£0/mo","-","-","0%","Free worldwide","-","Best-rated UK app","Award-winning app, 0% FX, real-time spending insights.","No physical branches; no credit products in-house.","https://www.starlingbank.com/current-account/","PRODUCT",""
